carat,depth,table,clarity,cut
0.73,64.6,60,4,Fair
0.73,66.9,54,0,Fair
0.5,66.5,58,4,Fair
0.7,64.5,57,4,Fair
1.01,65.3,59,2,Fair
0.7,64.9,59,0,Fair
0.7,64.3,62,0,Fair
1,64.8,59,2,Fair
0.58,65.8,56,0,Fair
0.9,64.6,58,4,Fair
1.01,64.5,59,4,Fair
0.7,67.6,54,6,Fair
1.03,65.3,59,3,Fair
1.01,66.8,61,4,Fair
1.19,64.9,58,2,Fair
2,65.7,60,2,Fair
3.02,65.2,56,0,Fair
0.7,70.8,56,0,Fair
0.96,67.3,56,2,Fair
1.5,65.8,57,3,Fair
1,66.1,59,3,Fair
0.3,66.6,54,7,Fair
0.73,64.7,56,3,Fair
1.01,64.7,54,4,Fair
0.7,64.5,60,3,Fair
1.5,64.7,55,3,Fair
0.51,65.5,51,5,Fair
2,69.8,54,0,Fair
1,67.6,57,5,Fair
1.52,65.4,62,0,Fair
1.58,64.7,58,2,Fair
0.7,66,53,2,Fair
0.98,68,63,0,Fair
1,64.8,62,5,Fair
1.5,69.6,62,3,Fair
0.5,66.9,57,5,Fair
1.02,65.3,59,3,Fair
1.5,64.3,58,2,Fair
2,65.9,60,2,Fair
1.01,65.3,57,2,Fair
1.21,64.5,56,5,Fair
2,65.2,56,5,Fair
3.11,65.9,57,0,Fair
1.01,68.5,63,3,Fair
0.85,66.7,59,0,Fair
0.9,64.4,53,5,Fair
0.9,65.5,59,2,Fair
1,68.9,56,2,Fair
0.98,66.6,56,3,Fair
2.03,64.9,59,3,Fair
0.71,65.4,59,4,Fair
1.01,64.4,59,2,Fair
1,64.9,59,2,Fair
1.01,65.1,57,2,Fair
0.29,64.7,62,5,Fair
1.01,65.5,62,5,Fair
1.08,65.1,54,5,Fair
0.7,66.5,62,0,Fair
1,64.9,58,2,Fair
0.7,66.5,55,2,Fair
1.59,65.2,58,3,Fair
2.31,67.4,56,0,Fair
0.51,65.2,55,2,Fair
0.5,65.2,57,3,Fair
1.01,65.5,57,2,Fair
1.05,64.8,55,3,Fair
2,69.1,56,3,Fair
1.35,66,58,3,Fair
1.52,65.4,58,4,Fair
